city,grid_id,built_area_total_m2,number_of_buildings,mean_building_size
Vancouver,4048_45441,0.0,0.0,0.0
Vancouver,4048_45440,0.0,0.0,0.0
Vancouver,4048_45439,0.0,0.0,0.0
Vancouver,4048_45438,0.0,0.0,0.0
Vancouver,4048_45437,0.0,0.0,0.0
Vancouver,4048_45436,0.0,0.0,0.0
Vancouver,4048_45435,0.0,0.0,0.0
Vancouver,4048_45434,0.0,0.0,0.0
Vancouver,4048_45433,0.0,0.0,0.0
Vancouver,4049_45481,0.0,0.0,0.0
Vancouver,4049_45480,0.0,0.0,0.0
Vancouver,4049_45479,0.0,0.0,0.0
Vancouver,4049_45478,0.0,0.0,0.0
Vancouver,4049_45477,0.0,0.0,0.0
Vancouver,4049_45476,0.0,0.0,0.0
Vancouver,4049_45475,0.0,0.0,0.0
Vancouver,4049_45474,0.0,0.0,0.0
Vancouver,4049_45473,0.0,0.0,0.0
Vancouver,4049_45472,0.0,0.0,0.0
Vancouver,4049_45471,0.0,0.0,0.0
Vancouver,4049_45470,0.0,0.0,0.0
Vancouver,4049_45469,0.0,0.0,0.0
Vancouver,4049_45468,0.0,0.0,0.0
Vancouver,4049_45467,0.0,0.0,0.0
Vancouver,4049_45466,0.0,0.0,0.0
Vancouver,4049_45465,0.0,0.0,0.0
Vancouver,4049_45464,0.0,0.0,0.0
Vancouver,4049_45463,0.0,0.0,0.0
Vancouver,4049_45462,0.0,0.0,0.0
Vancouver,4049_45461,0.0,0.0,0.0
Vancouver,4049_45460,0.0,0.0,0.0
Vancouver,4049_45459,0.0,0.0,0.0
Vancouver,4049_45458,0.0,0.0,0.0
Vancouver,4049_45457,0.0,0.0,0.0
Vancouver,4049_45456,0.0,0.0,0.0
Vancouver,4049_45455,0.0,0.0,0.0
Vancouver,4049_45454,0.0,0.0,0.0
Vancouver,4049_45453,0.0,0.0,0.0
Vancouver,4049_45452,0.0,0.0,0.0
Vancouver,4049_45451,0.0,0.0,0.0
Vancouver,4049_45450,0.0,0.0,0.0
Vancouver,4049_45449,0.0,0.0,0.0
Vancouver,4049_45448,0.0,0.0,0.0
Vancouver,4049_45447,0.0,0.0,0.0
Vancouver,4049_45446,0.0,0.0,0.0
Vancouver,4049_45445,0.0,0.0,0.0
Vancouver,4049_45444,0.0,0.0,0.0
Vancouver,4049_45443,0.0,0.0,0.0
Vancouver,4049_45442,0.0,0.0,0.0
Vancouver,4049_45441,0.0,0.0,0.0
Vancouver,4049_45440,0.0,0.0,0.0
Vancouver,4049_45439,0.0,0.0,0.0
Vancouver,4049_45438,0.0,0.0,0.0
Vancouver,4049_45437,0.0,0.0,0.0
Vancouver,4049_45436,0.0,0.0,0.0
Vancouver,4049_45435,0.0,0.0,0.0
Vancouver,4049_45434,0.0,0.0,0.0
Vancouver,4049_45433,0.0,0.0,0.0
Vancouver,4050_45481,0.0,0.0,0.0
Vancouver,4050_45480,0.0,0.0,0.0
Vancouver,4050_45479,0.0,0.0,0.0
Vancouver,4050_45478,0.0,0.0,0.0
Vancouver,4050_45477,0.0,0.0,0.0
Vancouver,4050_45476,0.0,0.0,0.0
Vancouver,4050_45475,0.0,0.0,0.0
Vancouver,4050_45474,0.0,0.0,0.0
Vancouver,4050_45473,0.0,0.0,0.0
Vancouver,4050_45472,0.0,0.0,0.0
Vancouver,4050_45471,0.0,0.0,0.0
Vancouver,4050_45470,0.0,0.0,0.0
Vancouver,4050_45469,0.0,0.0,0.0
Vancouver,4050_45468,0.0,0.0,0.0
Vancouver,4050_45467,0.0,0.0,0.0
Vancouver,4050_45466,0.0,0.0,0.0
Vancouver,4050_45465,0.0,0.0,0.0
Vancouver,4050_45464,0.0,0.0,0.0
Vancouver,4050_45463,0.0,0.0,0.0
Vancouver,4050_45462,0.0,0.0,0.0
Vancouver,4050_45461,0.0,0.0,0.0
Vancouver,4050_45460,0.0,0.0,0.0
Vancouver,4050_45459,0.0,0.0,0.0
Vancouver,4050_45458,0.0,0.0,0.0
Vancouver,4050_45457,0.0,0.0,0.0
Vancouver,4050_45456,0.0,0.0,0.0
Vancouver,4050_45455,0.0,0.0,0.0
Vancouver,4050_45454,0.0,0.0,0.0
Vancouver,4050_45453,0.0,0.0,0.0
Vancouver,4050_45452,0.0,0.0,0.0
Vancouver,4050_45451,0.0,0.0,0.0
Vancouver,4050_45450,0.0,0.0,0.0
Vancouver,4050_45449,0.0,0.0,0.0
Vancouver,4050_45448,0.0,0.0,0.0
Vancouver,4050_45447,0.0,0.0,0.0
Vancouver,4050_45446,0.0,0.0,0.0
Vancouver,4050_45445,0.0,0.0,0.0
Vancouver,4050_45444,0.0,0.0,0.0
Vancouver,4050_45443,0.0,0.0,0.0
Vancouver,4050_45442,0.0,0.0,0.0
Vancouver,4050_45441,0.0,0.0,0.0
Vancouver,4050_45440,0.0,0.0,0.0
Vancouver,4050_45439,0.0,0.0,0.0
Vancouver,4050_45438,0.0,0.0,0.0
Vancouver,4050_45437,0.0,0.0,0.0
Vancouver,4050_45436,0.0,0.0,0.0
Vancouver,4050_45435,0.0,0.0,0.0
Vancouver,4050_45434,0.0,0.0,0.0
Vancouver,4050_45433,0.0,0.0,0.0
Vancouver,4051_45481,0.0,0.0,0.0
Vancouver,4051_45480,0.0,0.0,0.0
Vancouver,4051_45479,0.0,0.0,0.0
Vancouver,4051_45478,0.0,0.0,0.0
Vancouver,4051_45477,0.0,0.0,0.0
Vancouver,4051_45476,0.0,0.0,0.0
Vancouver,4051_45475,0.0,0.0,0.0
Vancouver,4051_45474,0.0,0.0,0.0
Vancouver,4051_45473,0.0,0.0,0.0
Vancouver,4051_45472,0.0,0.0,0.0
Vancouver,4051_45471,0.0,0.0,0.0
Vancouver,4051_45470,0.0,0.0,0.0
Vancouver,4051_45469,0.0,0.0,0.0
Vancouver,4051_45468,0.0,0.0,0.0
Vancouver,4051_45467,0.0,0.0,0.0
Vancouver,4051_45466,0.0,0.0,0.0
Vancouver,4051_45465,0.0,0.0,0.0
Vancouver,4051_45464,0.0,0.0,0.0
Vancouver,4051_45463,0.0,0.0,0.0
Vancouver,4051_45462,0.0,0.0,0.0
Vancouver,4051_45461,0.0,0.0,0.0
Vancouver,4051_45460,0.0,0.0,0.0
Vancouver,4051_45459,0.0,0.0,0.0
Vancouver,4051_45458,0.0,0.0,0.0
Vancouver,4051_45457,0.0,0.0,0.0
Vancouver,4051_45456,0.0,0.0,0.0
Vancouver,4051_45455,0.0,0.0,0.0
Vancouver,4051_45454,0.0,0.0,0.0
Vancouver,4051_45453,0.0,0.0,0.0
Vancouver,4051_45452,0.0,0.0,0.0
Vancouver,4051_45451,0.0,0.0,0.0
Vancouver,4051_45450,0.0,0.0,0.0
Vancouver,4051_45449,0.0,0.0,0.0
Vancouver,4051_45448,0.0,0.0,0.0
Vancouver,4051_45447,0.0,0.0,0.0
Vancouver,4051_45446,0.0,0.0,0.0
Vancouver,4051_45445,0.0,0.0,0.0
Vancouver,4051_45444,0.0,0.0,0.0
Vancouver,4051_45443,0.0,0.0,0.0
Vancouver,4051_45442,0.0,0.0,0.0
Vancouver,4051_45441,0.0,0.0,0.0
Vancouver,4051_45440,0.0,0.0,0.0
