Canopy,Longitude,Latitude
0,-97.212177,49.729554
0,-97.21655,49.73175
0,-97.20983,49.727099
0,-97.217597,49.725019
0,-97.210629,49.723349
0,-97.21257,49.73127
0,-97.218233,49.725636
0,-97.218972,49.729045
0,-97.210806,49.724682
0,-97.217351,49.726783
0,-97.210479,49.730919
0,-97.211473,49.723989
0,-97.212002,49.725114
0,-97.215818,49.727071
0,-97.216674,49.730922
0,-97.211072,49.729411
0,-97.21013,49.725263
0,-97.212267,49.727026
0,-97.217081,49.730641
0,-97.212436,49.724802
0,-97.21151,49.731946
0,-97.210102,49.726203
0,-97.216212,49.726305
0,-97.211143,49.725021
0,-97.212139,49.730221
0,-97.214257,49.731426
0,-97.215114,49.724884
0,-97.212342,49.726396
0,-97.218797,49.727525
0,-97.212132,49.72585
0,-97.219331,49.731069
0,-97.215697,49.727125
0,-97.211218,49.727559
0,-97.210208,49.729623
0,-97.219698,49.732026
0,-97.219557,49.731845
0,-97.212251,49.723216
0,-97.213604,49.725983
0,-97.213796,49.724854
0,-97.219602,49.728522
0,-97.212431,49.726775
0,-97.214806,49.724832
0,-97.210155,49.731103
0,-97.213022,49.72675
0,-97.211172,49.730553
0,-97.216698,49.728215
0,-97.216218,49.724205
0,-97.21118,49.731538
0,-97.214461,49.728286
0,-97.216533,49.729347
0,-97.213064,49.727013
0,-97.218848,49.725441
0,-97.218032,49.726196
0,-97.218812,49.727373
0,-97.214206,49.723218
0,-97.218591,49.725078
0,-97.210933,49.726945
0,-97.21866,49.728066
0,-97.218579,49.731874
0,-97.219242,49.725289
0,-97.215798,49.731634
0,-97.215858,49.730753
0,-97.212023,49.730369
0,-97.215322,49.724496
0,-97.215047,49.72334
0,-97.214467,49.725809
0,-97.211381,49.729096
0,-97.210221,49.72859
0,-97.21878,49.723108
0,-97.21567,49.727654
0,-97.214477,49.729789
0,-97.21842,49.724472
0,-97.21855,49.732035
0,-97.210514,49.729625
0,-97.211382,49.723859
0,-97.219269,49.727552
0,-97.21572,49.730831
0,-97.216474,49.725269
0,-97.213012,49.724739
0,-97.216816,49.730749
0,-97.214521,49.731916
0,-97.218894,49.729415
0,-97.219019,49.729496
0,-97.217788,49.724133
0,-97.209855,49.725381
0,-97.214045,49.725971
0,-97.213298,49.730454
0,-97.215514,49.725531
0,-97.211732,49.723611
0,-97.217575,49.728806
0,-97.210646,49.730628
0,-97.213409,49.727247
0,-97.216211,49.728955
0,-97.21527,49.728452
0,-97.217997,49.724337
0,-97.216656,49.7294
0,-97.21291,49.727664
0,-97.211509,49.727584
0,-97.212038,49.729684
0,-97.211508,49.728882
0,-97.213645,49.728397
0,-97.218276,49.72862
0,-97.213382,49.729765
0,-97.216584,49.72748
0,-97.199689,49.725533
0,-97.196956,49.730538
0,-97.206655,49.725883
0,-97.200087,49.730262
0,-97.199148,49.72289
0,-97.20824,49.73062
0,-97.206779,49.725418
0,-97.207771,49.726438
0,-97.207983,49.729552
0,-97.203511,49.727248
0,-97.197873,49.724185
0,-97.202847,49.726852
0,-97.201294,49.728405
0,-97.205526,49.729892
0,-97.200183,49.726002
0,-97.201176,49.725845
0,-97.206062,49.727458
0,-97.20573,49.726248
0,-97.196807,49.724673
0,-97.204738,49.729784
0,-97.203836,49.726137
0,-97.199879,49.729298
0,-97.201424,49.726701
0,-97.198288,49.727562
0,-97.198319,49.728273
0,-97.204967,49.724117
0,-97.203185,49.725689
0,-97.198211,49.727683
0,-97.208485,49.726434
0,-97.199276,49.726146
0,-97.195523,49.729729
0,-97.199168,49.728759
0,-97.203625,49.725855
0,-97.195913,49.727207
0,-97.196238,49.728054
0,-97.196252,49.73066
0,-97.207173,49.728529
0,-97.196139,49.724121
